symbol,ts_signal,ts_entry,entry_price,entry_atr,ret_1,ret_3,ret_6,ret_12,ret_18,ret_24,atr_12,atr_pct_12,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_18,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,fixed_R,fixed_exit_price,fixed_exit_reason,side,split
NVDA,2024-03-04 14:35:00,2024-03-04 14:40:00,849.04,4.209291666666672,0.009625673864550167,0.034601948433654016,0.03585367930202619,0.036026766363907586,0.033892736323925254,0.03425215382777153,3.8759583333333487,0.004564138711899717,843.357758693446,0.006903206019916342,1.5124882164335103,3.0776077379856606,0.011127739439987298,0.009557946167312823,0.0005414379617250851,0.0010283553109493898,0.006568430216690167,0.08046656871672588,0.99675730813421,S0.5_T1.0_H3,2.0,TARGET,853.2492916666666,2024-03-04 09:40:00-05:00,0.5,1.0,3,1.3333333333333333,853.2492916666666,TARGET,LONG,train
OKLO,2024-03-04 14:50:00,2024-03-04 14:55:00,10.63,0.0366833333333331,0.0023941355143667943,5.604700476946179e-05,0.006146485132917019,0.006146485132917019,0.005207076890981298,0.005207076890981298,0.030383333333333134,0.002838078513425976,10.693164682795468,0.0011615712528520435,0.4092808734349836,2.1422021310946078,0.005193543565984167,0.004259452996562575,0.0,0.0009340905694215912,0.0032910322421742916,0.3166679938014725,0.9485364419471455,S0.5_T1.0_H3,1.9999999999999678,TARGET,10.666683333333333,2024-03-04 10:05:00-05:00,0.5,1.0,3,1.3333333333333117,10.666683333333333,TARGET,LONG,train
PLTR,2024-03-04 20:50:00,2024-03-04 20:55:00,24.06,0.08766666666666693,0.006043573672641769,-0.002282869103912006,-0.006626655021757286,-0.009758999008073333,-0.00580072063658484,-0.010129285572959204,0.0860000000000003,0.003573654685227521,24.01160201090984,0.002218906673183513,0.6209068498855937,2.1847984554001187,0.006233118637024813,0.005609806773322317,0.0,0.000623311863702496,0.003100766940967691,-0.16041128085776063,0.9870502626379128,S0.5_T0.75_H3,-0.9999999999999628,STOP,24.016166666666667,2024-03-04 15:55:00-05:00,0.5,0.75,3,-1.0000000000000169,23.994249999999997,STOP,LONG,train
NVDA,2024-03-05 14:35:00,2024-03-05 14:40:00,858.69,6.74644166666666,0.013914715797375903,0.008978237762568,-0.007075454954708217,-0.012082271902095607,-0.01981338860895153,-0.012967965705501261,6.543933333333324,0.007622042245149137,851.1639983776963,0.008607266804134706,1.1292599184441139,1.6460155467060535,0.016073541343594257,0.013634789106984287,0.0002867612955646235,0.002151990941045345,0.006032343619604031,0.08046656871672588,0.99675730813421,S0.75_T0.75_H3,-1.0000000000000013,STOP,853.63016875,2024-03-05 09:45:00-05:00,0.75,0.75,3,-1.0000000000000013,853.63016875,STOP,LONG,train
COIN,2024-03-05 14:35:00,2024-03-05 14:40:00,233.65,3.387816666666666,0.026402313926939126,0.022762677380435137,0.00019255661758920304,-0.004290798458374861,-0.004567679922929739,0.013135699974037164,3.103650000000002,0.013279351360602439,229.41571756636773,0.018416406099744424,1.38684530589218,2.0442695284947727,0.03281704603799425,0.025243881567687854,0.0032945404757830318,0.004278623994523362,0.011639397476938826,0.08046656871672588,0.99675730813421,S0.5_T1.0_H3,2.0000000000000084,TARGET,237.03781666666669,2024-03-05 09:40:00-05:00,0.5,1.0,3,1.333333333333339,237.03781666666669,TARGET,LONG,train
PLTR,2024-03-05 17:45:00,2024-03-05 17:50:00,23.89,0.07435833333333323,0.0018858046447762689,0.003985322527059009,0.007353746764611003,0.01115683607270901,0.01412482637949852,0.015612131444913952,0.07185833333333343,0.0030085130137464276,23.851962437092737,0.001383192920546959,0.4597596600802144,1.6026649848499708,0.002930709650408218,0.001465354825204109,0.001046682018002871,0.0004186728072012377,0.0019915647029576104,1.2246467991473532e-16,-1.0,S0.75_T0.75_H3,-0.9999999999999761,STOP,23.834231250000002,2024-03-05 12:50:00-05:00,0.75,0.75,3,-0.9999999999999761,23.834231250000002,STOP,LONG,train
PLTR,2024-03-05 20:50:00,2024-03-05 20:55:00,23.83,0.0659749999999996,0.0018893676240750441,0.005678845843067475,0.0067340321813441194,0.010330017018798234,0.003613904845100418,0.006227403782430255,0.06514166666666614,0.0027324524608500897,23.81205352881497,0.0011722513080968456,0.429010687246192,2.1710026318878786,0.0027265100671141477,0.0016778523489932528,0.0,0.0010486577181208947,0.0011256262539429869,-0.16041128085776063,0.9870502626379128,S0.5_T2.0_H3,4.000000000000018,TARGET,23.961949999999998,2024-03-06 09:30:00-05:00,0.5,2.0,3,1.3333333333333035,23.895974999999996,TARGET,LONG,train
COIN,2024-03-06 14:30:00,2024-03-06 14:35:00,233.055,3.1973999999999996,0.07286957700284138,0.06892854005137329,0.06768867122677469,0.06402398549462696,0.06087394522637966,0.044059989794030495,3.041566666666666,0.01304497626808486,232.14666666666665,0.004346085663635914,0.3331616381908501,3.736539944419164,0.02890718819694622,0.016984045290787477,0.007934465603019362,0.003988677303139383,0.021586150690309256,0.0,1.0,S1.0_T0.75_H3,-0.9999999999999962,STOP,229.85760000000002,2024-03-06 09:35:00-05:00,1.0,0.75,3,-1.000000000000005,230.65695,STOP,LONG,train
PLTR,2024-03-06 14:35:00,2024-03-06 14:40:00,25.6421,0.33077499999999943,0.014889002433386141,0.07298377864408266,0.0786626244871502,0.08140842830333436,0.0790423633157888,0.07441097109554372,0.2816083333333328,0.010981022941444055,25.499637489946554,0.005668259311891022,0.5161868199453574,3.8412124030135937,0.021056736205888056,0.015012673035679392,0.0021446675765256274,0.0038993955936830345,0.017023245192201795,0.08046656871672588,0.99675730813421,S0.5_T1.5_H3,3.0000000000000084,TARGET,26.1382625,2024-03-06 09:40:00-05:00,0.5,1.5,3,1.3333333333333321,25.972875,TARGET,LONG,train
OKLO,2024-03-06 16:35:00,2024-03-06 16:40:00,10.7,0.020483333333333114,0.0018709079358116025,0.0009350164309066464,0.004683849312426216,-0.0009341429917970186,0.008446788841968747,0.010333581854545398,0.019649999999999796,0.0018364485981308223,10.696887695681228,0.0002908695625019489,0.15838698823261504,3.448718423724167,0.0009345794392523165,0.0,0.0,0.0009345794392523165,0.002239334341199219,0.9034504346103822,-0.4286925614030543,S0.5_T2.0_H3,3.9999999999999707,TARGET,10.740966666666665,2024-03-06 12:15:00-05:00,0.5,2.0,3,1.3333333333333237,10.720483333333332,TARGET,LONG,train
