symbol,session_date,day_open,day_close,day_high,day_low,day_volume,bars_in_day,daily_rv,daily_ret,daily_abs_ret,daily_range_pct,daily_trend_strength,rv_3,rv_long,rv_impulse,range_3,range_long,range_ratio,trend_freq,sum_ret_3,sum_abs_ret_3,conditions_3,rel_vol,rv_impulse_z,range_ratio_z,trend_freq_z,conditions_3_z,rel_vol_z,regime_label,macro_regime_id
COIN,2024-04-11,250.99,263.07,264.3,247.3103,7622950.0,78,0.00401591251098609,0.048129407546117386,0.048129407546117386,0.06769074465118131,0.7110190291659974,0.005556360173984362,0.00540528504969853,0.027566010770156097,0.05747977611321755,0.058530909701793254,-0.018121816380240383,0.6666666666666666,0.03183906472055609,0.1111847003154508,0.28636189841411647,-0.028096765704400735,1.1877858415583806,0.4005998702450424,1.3841682051750126,-0.7746281345986896,0.8724534231522995,Choppy,2
COIN,2024-04-12,259.42,245.79,259.97,244.3101,7663576.0,78,0.004722951083027249,-0.05254028216791318,0.05254028216791318,0.06036504510060913,0.8703759283120726,0.004446587229115415,0.00518184807712849,-0.153024558045282,0.06426778010585556,0.05709818849679336,0.11828600806012719,1.0,0.062225898009247715,0.14157153360414243,0.4395367630040234,0.028617515483243348,-1.766660284175733,1.7337358369417528,2.6455583545093764,-0.37209907263796255,1.153792025754015,Range Bound,3
COIN,2024-04-15,247.94,223.36,249.7392,222.14,9936693.0,78,0.004552685810469224,-0.09913688795676368,0.09913688795676368,0.11131402758731962,0.8906055247898179,0.004544703040344401,0.0051802451314848525,-0.13088972004268282,0.06667367829425025,0.058184844807323124,0.1361853025531959,1.0,0.049358433638781896,0.15443899797460825,0.31959823030524165,0.033932797143424856,-1.3971504733874966,1.6836924852728985,2.1595453289813658,-0.6528743876088001,1.1432112183112302,Range Bound,3
COIN,2024-04-16,223.0,218.84,223.0,205.67,14951181.0,78,0.006593608671162643,-0.018654708520179364,0.018654708520179364,0.07771300448430499,0.24004616272051152,0.004430516468160855,0.005099017100991915,-0.1405313384537838,0.0797899391130367,0.0618368875782749,0.2548973110653872,1.0,-0.10354776257855947,0.19980657767079424,0.5182399829037021,0.29368835073185495,-1.4488194314292457,2.488871503002524,1.8855117065187954,0.021965867727365366,2.5925481894031175,Range Bound,3
COIN,2024-04-17,221.93,213.54,224.87,205.9,8495762.0,78,0.005566178151502099,-0.03780471319785528,0.03780471319785528,0.08547740278466182,0.44227727991048327,0.00528974852155304,0.0049991793973266025,0.05649681797222084,0.08313069239074458,0.06453056971631585,0.2532748812337396,0.6666666666666666,-0.17033187864485622,0.17033187864485622,0.9999999412910873,0.701108327377192,1.673872877908129,2.1058209012846425,0.5823105049562289,1.465726836577033,4.120424745266053,Trending,1
COIN,2024-04-18,215.59,218.07,228.05,213.25,8604131.0,78,0.005854742695917782,0.011503316480356185,0.011503316480356185,0.06864882415696466,0.1675675675651258,0.005570824211044656,0.0051764197271971886,0.07342923453350024,0.09150147828542882,0.06775213395806674,0.3004991331670879,0.3333333333333333,-0.15559630967479832,0.15559630967479832,0.9999999357311278,0.10574284468404897,1.7502843719400922,2.1542387192529726,-0.5285941231062191,1.3097023373931842,0.7138184460525283,Trending,1
COIN,2024-04-19,223.83,210.96,227.76,210.18,8445794.0,78,0.006900915123875247,-0.05749899477281872,0.05749899477281872,0.07854175043559837,0.7320819112534792,0.006004843172860842,0.005178340043659432,0.14808152327718732,0.07727974380864383,0.06998873929219175,0.09909749945868533,0.0,-0.044956105237678456,0.06796273819839083,0.6614815679090343,0.06289153041873195,2.5633480485054334,0.689523216428932,-1.585782369318657,0.2936729676361006,0.48023499791778385,Range Bound,3
COIN,2024-04-22,216.63,226.0,227.14,215.033,7364019.0,78,0.005378390674436236,0.043253473664774056,0.043253473664774056,0.055887919494068225,0.7739324357671056,0.006107278657098376,0.005487607456889342,0.10698873710266661,0.07755599245907496,0.07221901275402925,0.07129680353249772,0.3333333333333333,-0.08380039149031782,0.10680702445103019,0.7845961824615526,-0.0029537920762223863,1.6697509160340926,0.5199580716537892,-0.450593262925045,0.747832139159999,0.20256447083578463,Trending,1
COIN,2024-04-23,223.62,236.425,238.67,223.61,6642203.0,78,0.0037844839334867974,0.05726232000715492,0.05726232000715492,0.06734639119935593,0.8502656042370431,0.006044682831409756,0.005290923389773673,0.13318599461574374,0.06769283136221042,0.07307513143610936,-0.07650781274830161,0.6666666666666666,-0.0027422046276884826,0.11225578491794896,0.024428178783044922,-0.08964806623201911,1.8323010896776588,-0.338874308394934,0.5507250991306103,-1.6752437422392248,-0.1181948392601062,Choppy,2
COIN,2024-04-24,236.83,224.3,239.0,223.87,5623998.0,78,0.004665319343908656,-0.05290714858759449,0.05290714858759449,0.0638854874804712,0.8281559814807584,0.005354596577266095,0.005226511418188323,0.024211296922568695,0.06725868704300751,0.07449503550250243,-0.1021862856720504,1.0,0.04301679889911025,0.1580147884447477,0.2722327232797233,-0.19281022414810045,0.44944933649431695,-0.4544143520108029,1.4999999550000012,-0.7041668807608603,-0.6066392030741385,Choppy,2
COIN,2024-04-25,216.25,223.61,225.94,213.64,4451838.0,78,0.005675113920823817,0.03403468208092497,0.03403468208092497,0.05687861271676306,0.5983739837293187,0.004609397983943897,0.0052035187998772025,-0.12123758199987567,0.06237326605796512,0.07368705973745353,-0.16669042392331648,1.0,0.04760864508433449,0.15342294225952346,0.3103097964364668,-0.3592111108294984,-1.1244199013733678,-0.8455686834979436,1.338052507458066,-0.49550853068470607,-1.2366052766831794,Range Bound,3
COIN,2024-04-26,220.77,236.44,237.02,218.66,5472576.0,78,0.004152903150371095,0.07097884676360011,0.07097884676360011,0.0831634732980025,0.8534858387696929,0.004708305732739757,0.005369438940860975,-0.13139503498773172,0.06270349713219674,0.0726058465440117,-0.14662820603018936,0.6666666666666666,0.038389853500485405,0.14420415067567438,0.26621876456690435,-0.5929368651079501,-1.195412120629925,-0.7652456695271418,0.321271025647735,-0.6712177171555757,-2.1908372724813967,Range Bound,3
COIN,2024-04-29,229.94,218.14,230.32,216.54,8487485.0,78,0.00570295317614996,-0.051317735061320424,0.051317735061320424,0.059928677046185964,0.8563134978086442,0.004831112138367857,0.005312434147595359,-0.0949732533364256,0.06797585783174559,0.07488568936375103,-0.09681018520851055,0.6666666666666666,0.052106380256930596,0.15792067743211957,0.32995284597737035,-0.3677342046961299,-0.7555051735116933,-0.4306315594702871,0.3823007164165903,-0.4491293516913174,-1.0647139200642672,Range Bound,3
COIN,2024-04-30,214.67,204.02,216.57,202.59,7891047.0,78,0.004588564623102874,-0.049611030884613494,0.049611030884613494,0.06512321237247864,0.7618025750955972,0.0051769900824482915,0.005427460884163434,-0.04724750440791324,0.06665692102031719,0.06974715430963767,-0.04531773229549706,0.6666666666666666,0.05369579378320466,0.1563312639058455,0.34347442096291186,0.07110908294389627,-0.264533049408648,-0.15998623118808766,0.3823007164165903,-0.3374982147975923,0.5699758849189512,Range Bound,3
COIN,2024-05-01,199.0,209.93,218.52,198.2,8957379.0,78,0.005568069148614161,0.054924623115578,0.054924623115578,0.10211055276381921,0.5378937007821343,0.004814806983207977,0.005226956479357457,-0.08213305192123913,0.06940512090555571,0.06848817509845503,0.01329954705939294,1.0,-0.029949919182333806,0.17190761270953403,0.17422100724956846,0.03396436162406496,-0.610379147219,0.19841454059109587,1.2980895189222423,-0.9124450259020894,0.4042007631048276,Range Bound,3
COIN,2024-05-02,216.48,229.28,232.71,210.76,9522022.0,78,0.005775014973865372,0.059127864005912745,0.059127864005912745,0.10139504804138959,0.583143507966913,0.005286528982622333,0.005227145579068663,0.011296511364806389,0.07572081406082794,0.07015149009637077,0.07639601883793821,0.6666666666666666,-0.04600414283035592,0.15585338906151192,0.2951757427645136,0.16071319782273666,0.35692241652413215,0.538570709172391,0.19895560050105549,-0.4768267950050494,0.8049957312136903,Choppy,2
COIN,2024-05-03,230.9,223.02,232.25,216.55,11567020.0,78,0.004903299649850117,-0.03412732784755301,0.03412732784755301,0.06799480294499778,0.5019108280180958,0.005310549581860803,0.005219172806863422,0.017356373119524978,0.08954293772589583,0.07342611248481326,0.19843860857307444,0.3333333333333333,0.06444145623687725,0.16366351800610424,0.39374353603372003,0.2218427571589673,0.4113818771779974,1.2656646540358558,-0.9869400026459347,-0.11743599613614879,0.953695256322874,Choppy,2
COIN,2024-05-06,226.3,226.93,235.8,224.9,8132629.0,78,0.004381498093219075,0.002783915156871375,0.002783915156871375,0.04816615112682283,0.057798165136413955,0.005415461257443217,0.005019411259460909,0.07594526472064214,0.09050013458340221,0.0723714177357532,0.22353987134603143,0.0,0.07992515927393773,0.14817981496904375,0.539379495762226,0.41639348131889503,1.003777397644734,1.318650403467713,-2.083540005585862,0.4087535821134896,1.583299096867796,Range Bound,3
COIN,2024-05-07,226.76,214.31,230.82,214.12,6830962.0,78,0.003803647829264868,-0.0549038631151878,0.0549038631151878,0.07364614570470977,0.745508982025805,0.005019937572311522,0.004919722001339192,0.02016543213837511,0.07251866737107009,0.07159924089902867,0.012759535986086229,0.0,0.027784451315231107,0.09603910701033713,0.2893034857061476,0.014964043591877633,0.3381610654607413,-0.18925716100565015,-1.8723048345826518,-0.6276961123417902,-0.008659250017873456,Choppy,2
COIN,2024-05-08,209.5,211.1,214.9,206.525,3996100.0,78,0.004775205943820958,0.007637231503579978,0.007637231503579978,0.03997613365155131,0.19104477611462467,0.00436281519077802,0.004921638390917,-0.12052368614642485,0.06326903325884346,0.07222921634956406,-0.13244859959233218,0.3333333333333333,-0.08624727580586944,0.09181510611961219,0.9393581302398045,-0.1594546850695473,-1.1235440860117871,-1.2795061010740876,-0.7573538625239007,1.9663755769808442,-0.6235280928909571,Trending,1
COIN,2024-05-09,210.22,210.6,213.8497,205.11,4025440.0,78,0.0027522164161577897,0.0018076301017981855,0.0018076301017981855,0.04157406526496051,0.043479753308566,0.004320117288768301,0.004932627050908229,-0.13258887699699862,0.053929476827694646,0.06983828096667206,-0.2585050467590079,0.3333333333333333,-0.04448271645473645,0.06532500977563915,0.6809445539781503,-0.6956013124304472,-1.171316833951058,-2.0912818532415685,-0.757353862523901,0.7947483066434287,-2.5126207599254298,Trending,1
COIN,2024-05-10,214.18,200.5,214.87,200.5,6636506.0,78,0.004195794131515361,-0.0638715099449062,0.0638715099449062,0.06709309926230275,0.9519832985244335,0.0037770233964145397,0.004640337300441627,-0.20585032693118016,0.05173211487374054,0.06830782622149181,-0.2779455329657493,0.3333333333333333,-0.04545900150980964,0.06434872472056596,0.7064474803928176,-0.6882859762625881,-1.7805865651613875,-1.9452886173357211,-0.7009845096640045,0.8123374402996788,-2.065032865581333,Trending,1
COIN,2024-05-13,204.0,199.51,206.665,197.64,6247693.0,78,0.003768853819222893,-0.022009803921568705,0.022009803921568705,0.0442401960784314,0.4975069251965121,0.003907738830498037,0.004644626398556053,-0.17275162965726168,0.04954776605960486,0.06670078881792182,-0.2972795521144906,0.3333333333333333,-0.05442664833952804,0.07331637155028436,0.7423531711286009,-0.18833457775393547,-1.3744852251344428,-1.7957251712799425,-0.6250060646662646,0.8793022331856418,-0.38153703887685625,Trending,1
COIN,2024-05-14,195.97,203.09,206.9669,194.93,4785095.0,78,0.0036518156255662586,0.03633209164668072,0.03633209164668072,0.06142215645251826,0.5915144264623035,0.003572288122298682,0.0044512164628633475,-0.2199705474155293,0.05096912020189823,0.06513194072114638,-0.24519506399853294,0.3333333333333333,-0.08407368376467672,0.08768894396827309,0.9587716577745423,-0.16398412879961155,-1.757936239930629,-1.293152348120265,-0.5507250991306101,1.5545021296452473,-0.2820560999331389,Trending,1
COIN,2024-05-15,212.21,219.81,221.4,207.7,7931297.0,78,0.00794447714106857,0.03581358088685738,0.03581358088685738,0.06455869186183505,0.554744525538852,0.0038721545254348385,0.004357541563109686,-0.11809667194375774,0.0575851505977508,0.06476183512915033,-0.11745171420771713,0.3333333333333333,-0.04954922221979419,0.12221340551315563,0.4054319406077026,-0.3416239405018524,-0.7446619163309894,-0.47951631708524334,-0.4764358676914601,-0.4293736334593341,-0.7324241945444092,Range Bound,3
COIN,2024-05-16,215.0,199.01,216.4499,198.64,10674504.0,78,0.004108959606270705,-0.07437209302325587,0.07437209302325587,0.08283674418604664,0.8978152600411544,0.005121715528619241,0.0045951823623551265,0.10848078124389118,0.056740348130928236,0.06100664903895192,-0.07249728163812999,0.0,0.05013586861196939,0.0941554764551068,0.5324795240251252,0.16368675946973177,1.322497129413099,-0.14112046812752763,-1.4888473814418206,0.09368564168947165,1.0037095585937699,Range Bound,3
COIN,2024-05-17,205.66,209.02,210.67,199.8315,5642487.0,44,0.0047505043938497835,0.01633764465622889,0.01633764465622889,0.05270106000194487,0.3100059971339469,0.005235084124301845,0.00442857682559566,0.1673042917989998,0.06960586416679998,0.05915081865341763,0.1627583630448199,0.3333333333333333,-0.002226420489717773,0.14651776555679397,0.015195565734307484,0.4607282754157863,1.7912764342147385,1.5333031010043467,-0.3542198335696906,-1.803306253868837,1.9652168959310894,Choppy,2
COIN,2024-05-28,239.83,245.1,247.1319,236.03,3528238.0,36,0.023884303418594634,0.021973898177875872,0.021973898177875872,0.04629070591669099,0.47469352091859274,0.005601313713729687,0.0044132972999956265,0.23837858422926245,0.06669883201660885,0.05762144435911234,0.14629262183662178,0.3333333333333333,-0.022220867480169604,0.12652331856634214,0.17562664318081198,-0.13252957053993153,2.3620352817579855,1.3628389645835797,-0.42538496612623444,-0.9968657928205461,-0.053456081291960326,Choppy,2
COIN,2024-05-29,239.02,236.46,240.49,233.18,6239683.0,78,0.00593496543638643,-0.010710400803280118,0.010710400803280118,0.03058321479374112,0.350205198346964,0.010914589139571709,0.006363577832533182,0.5395089207756089,0.06060950336822749,0.057433899838099156,0.05381697440531987,0.3333333333333333,-0.03606055018915111,0.11268363585736063,0.32001582762771064,-0.5217670726135739,4.428773771135884,0.7186897569180213,-0.4253849661262346,-0.3692110062860436,-1.2218351402073646,Choppy,2
COIN,2024-05-30,241.1,234.9,248.86,233.38,8743783.0,78,0.005217582251363557,-0.025715470759021142,0.025715470759021142,0.06420572376607224,0.4005167958593944,0.011523257749610284,0.006576709593245339,0.56083219490069,0.04319166023745899,0.05312760674700229,-0.20704922436484968,0.0,0.027601142030824644,0.04902194363738488,0.5630363537730491,0.04903760318193525,3.2021143735038975,-0.9564059016631382,-1.4464770782830592,0.5038777573003981,0.5658208108612721,Range Bound,3
COIN,2024-05-31,239.28,226.06,240.41,219.17,8135931.0,78,0.005021987653786567,-0.05524908057505851,0.05524908057505851,0.0887662988966901,0.6224105461323476,0.01167895036878154,0.006620947223999599,0.5675490086500818,0.04702654815883478,0.055550565758454386,-0.16658137139162335,0.0,-0.014451973384425387,0.05839976974017713,0.2474662310153013,0.3367719001134106,2.5112032392749484,-0.6578012050528785,-1.3416407414998752,-0.7950486264271565,1.3679865542322083,Choppy,2
COIN,2024-06-03,232.5,231.39,239.2,224.69,6359787.0,78,0.00576986833152102,-0.004774193548387151,0.004774193548387151,0.0624086021505376,0.07649896622896123,0.005391511780512185,0.006847924347762477,-0.23911937260715277,0.06118507915216783,0.06026978912162734,0.01507238401356293,0.3333333333333333,-0.09167495213735977,0.09167495213735977,0.9999998909189624,0.23343568158079425,-1.154108637230053,0.45109412634237456,-0.060563631012185495,2.1663120089134074,0.9344721397460763,Trending,1
COIN,2024-06-04,230.23,244.11,247.2,230.1557,10024802.0,78,0.004252907892273628,0.06028753854840829,0.06028753854840829,0.07403162055335966,0.8143484918601854,0.005336479412223715,0.0070053317677630424,-0.2721049443757211,0.07179354160443331,0.05980133941045083,0.18276643540361323,0.3333333333333333,-0.0857387448824668,0.0857387448824668,0.9999998833666291,0.008851778174957232,-1.2388144357833824,1.430460569961693,0.0,1.847113917708306,0.18753030935887824,Trending,1
COIN,2024-06-05,246.86,251.41,251.89,240.7,8617767.0,78,0.003655342946444271,0.0184314996354209,0.0184314996354209,0.045329336466013115,0.40661304735474785,0.005014921292527072,0.007053737175068115,-0.34113926888795704,0.07506884053352912,0.06278048185794365,0.17876131352812175,0.6666666666666666,0.0002642644249626347,0.12031081267185395,0.002196514154702542,0.33857355662650124,-1.429893106092156,1.2612658218250217,1.3831173295980976,-1.7117727254922837,1.1293168335346235,Range Bound,3
