ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,symbol,side,split,ts_ny,regime_id,regime_pmax
2024-02-29 14:35:00,2024-02-29 14:40:00+00:00,204.19,0.002231131324076,0.0118251279398155,0.0100429144884303,0.7012357142857114,0.0034347360613524,204.02984345495275,0.0006375222621829,0.1856102625632097,2.3325567256150546,0.0065634796238244,0.0022041536050156,0.0010775862068965,0.0032817398119123,0.0024070718157819,0.0804665687167258,0.99675730813421,S0.75_T1.0_H6,1.333333333333323,TARGET,204.97695,2024-02-29 09:40:00-05:00,0.75,1.0,6,TSLA,LONG,train,2024-02-29 14:40:00+00:00,4,0.9999999876224233
2024-02-29 20:50:00,2024-02-29 20:55:00+00:00,201.9,0.0041490540531975,0.0044614256625512,0.0043067198830367,0.4018999999999977,0.0019904908127383,201.3211560119624,0.0029163686198683,1.4651505051943596,2.9057063447057945,0.0047545936308255,0.0041107424099845,0.0006438512208409,0.0,0.0014033727869878,-0.1604112808577606,0.9870502626379128,S0.75_T0.75_H6,-0.9999999999999654,STOP,201.57821785714287,2024-02-29 15:55:00-05:00,0.75,0.75,6,TSLA,LONG,train,2024-02-29 20:55:00+00:00,4,0.9999868414757332
2024-03-01 14:45:00,2024-03-01 14:50:00+00:00,199.95,0.0034318241118928,5.001500451181251e-05,-0.0056306707804822,0.7206499999999981,0.0036042411663207,199.63207177519263,0.0015650715187043,0.4342305207900332,2.072038870203333,0.005614043862062,0.0034259421340868,0.0002875790842481,0.001900522643727,0.0035442403387383,0.2393156642875577,0.970941817426052,S1.0_T1.0_H6,1.0000000000000029,TARGET,200.72564285714284,2024-03-01 09:55:00-05:00,1.0,1.0,6,TSLA,LONG,train,2024-03-01 14:50:00+00:00,6,0.8032048383740825
2024-03-07 14:30:00,2024-03-07 14:35:00+00:00,178.1071,0.0093611465757606,0.0069561089872636,0.0085682598603816,0.8586857142857168,0.0048197446917698,176.71666666666667,0.0081013321359077,1.6808633348860829,4.957912259400312,0.0257633587786259,0.0212730130220026,0.0007296811854512,0.003760664571172,0.0035311910382199,0.0,1.0,S0.5_T1.5_H6,3.000000000000013,TARGET,179.54834285714287,2024-03-07 09:35:00-05:00,0.5,1.5,6,TSLA,LONG,train,2024-03-07 14:35:00+00:00,4,0.9999999857406836
2024-03-08 14:40:00,2024-03-08 14:45:00+00:00,180.79,0.0079415868138925,0.012443952039113,0.007639473523571,0.8891714285714281,0.0049178203631042,180.51985657636072,0.0015825991595372,0.3218090622851158,1.9613228668135367,0.0081302611638994,0.0077762906098249,0.0003539705540744,0.0,0.0043418731953414,0.1604112808577602,0.9870502626379128,S0.5_T0.75_H6,-0.9999999999999934,STOP,180.32309285714285,2024-03-08 09:45:00-05:00,0.5,0.75,6,TSLA,LONG,train,2024-03-08 14:45:00+00:00,4,0.6493533634898323
2024-03-11 13:30:00,2024-03-11 13:35:00+00:00,177.0059,0.0096487495823547,0.0103333685045764,0.0054940525044412,0.6408642857142846,0.0036198841262668,176.45000000000005,0.0033325802078623,0.9206317361597915,4.074520025015778,0.0153072751920468,0.00881156800723,0.0026547672842295,0.0038409399005873,0.0035507483591335,0.0,1.0,S0.5_T2.0_H6,3.999999999999991,TARGET,178.69405714285713,2024-03-11 09:35:00-04:00,0.5,2.0,6,TSLA,LONG,train,2024-03-11 13:35:00+00:00,4,0.9999999941276343
2024-03-13 13:45:00,2024-03-13 13:50:00+00:00,174.27,0.0062743046528956,-0.0048313697349014,-0.0208967912836507,0.9917500000000022,0.0056908819647673,174.2150213524108,0.0003154797015506,0.0554359945442129,2.1104319620301677,0.0095541401273886,0.0061972800826304,0.0019796866930624,0.0013771733516956,0.0047454613008121,0.2393156642875577,0.970941817426052,S0.5_T0.75_H6,-0.9999999999999784,STOP,173.74912500000002,2024-03-13 09:55:00-04:00,0.5,0.75,6,TSLA,LONG,train,2024-03-13 13:50:00+00:00,6,0.9755654722183112
2024-03-14 13:30:00,2024-03-14 13:35:00+00:00,171.05,0.0091035692273165,0.0063345451585615,0.0078653980246475,0.74748571428571,0.0043699811592376,169.7800333333333,0.0074251150199074,1.6991183140942598,4.238819098042959,0.0227418750412891,0.019176253039314,0.0002332649907835,0.0033323570111915,0.0035787894694702,0.0,1.0,S0.75_T0.75_H6,-0.9999999999999858,STOP,170.33295714285717,2024-03-14 09:35:00-04:00,0.75,0.75,6,TSLA,LONG,train,2024-03-14 13:35:00+00:00,4,0.9999999387517883
2024-03-15 13:30:00,2024-03-15 13:35:00+00:00,164.87,0.0146005831430847,0.0205257948987266,0.0248001142748322,0.7280071428571497,0.0044151079074361,164.20816666666667,0.0041350799522913,0.9365750597684804,4.1888335142309066,0.0159773182121414,0.0104918430468796,0.0017860391776337,0.003699435987628,0.0044792189968707,0.0,1.0,S0.5_T0.75_H6,-1.0000000000000124,STOP,164.462425,2024-03-15 09:35:00-04:00,0.5,0.75,6,TSLA,LONG,train,2024-03-15 13:35:00+00:00,4,0.9999999650182196
2024-03-15 19:50:00,2024-03-15 19:55:00+00:00,163.55,0.0050260602279302,0.0031843260220269,0.0030530785018954,0.4248785714285706,0.0025976924151905,162.8494746700803,0.0043441264974303,1.672302106295224,1.9588126682629736,0.0051968696502812,0.0050745903643923,0.0,0.0001222792858888,0.00205973187877,-0.1604112808577606,0.9870502626379128,S0.5_T2.0_H6,3.999999999999941,TARGET,164.36814285714286,2024-03-18 09:30:00-04:00,0.5,2.0,6,TSLA,LONG,train,2024-03-15 19:55:00+00:00,0,0.9999985425743014
