symbol,ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,ret_12,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,side,split,session_date,macro_regime_id,regime_label
COIN,2024-04-25 13:35:00,2024-04-25 17:40:00+00:00,217.34,0.0105013956061943,-0.0362190214650872,-0.0383871159406189,-0.0336466157355679,1.9452714285714268,0.0089343494040606,216.56327685677783,0.0053562936727551,0.5995169240102366,2.401722835121656,0.0177743484461223,0.0100716715006464,0.0056974364980399,0.0020052404474359,0.0124580720731689,0.0804665687167258,0.99675730813421,S0.75_T2.0_H6,2.6666666666666665,TARGET,221.3099857142857,2024-04-25 10:05:00-04:00,0.75,2.0,6,LONG,train,2024-04-25,3,Range Bound
OKLO,2024-04-25 19:55:00,2024-04-26 17:30:00+00:00,13.4,0.0042234656752489,0.0061491354403498,0.0046083030861941,0.0038387763071656,0.0203428571428569,0.0015588396278051,13.017651987753528,0.0024787748847872,1.5901410514418066,5.477093853782812,0.0045977011494253,0.0038314176245211,0.0,0.0007662835249041,0.0016265857466246,-0.0804665687167257,0.99675730813421,S0.75_T0.75_H3,-1.000000000000007,STOP,13.33385,2024-04-26 09:30:00-04:00,0.75,0.75,3,LONG,train,2024-04-26,3,Range Bound
TSLA,2024-04-26 13:35:00,2024-04-26 17:40:00+00:00,169.53,0.0086483183263447,-0.0018266997802156,-0.000117362620258,0.0093083016692077,1.1552857142857107,0.0068138349412309,169.1087708012523,0.0026023544603227,0.38192214557117,2.0949019293412414,0.0218224712474195,0.0087171925685638,0.0100265408434089,0.0030787378354467,0.0058439519781156,0.0804665687167258,0.99675730813421,S1.0_T0.75_H3,-1.0,STOP,168.33363571428572,2024-04-26 09:40:00-04:00,1.0,0.75,3,LONG,train,2024-04-26,1,Trending
OKLO,2024-04-26 13:35:00,2024-04-26 17:40:00+00:00,13.0,0.0151665360974294,-0.0030828540793802,-0.0019278972618706,-0.0042364785103405,0.1185571428571427,0.0091514583448199,12.942334539968604,0.0009776503304821,0.1068300038797128,5.354004141726476,0.0339637205712081,0.0142802006947125,0.0011578541103821,0.0185256657661134,0.008330108426815,0.0804665687167258,0.99675730813421,S0.5_T0.75_H3,-0.999999999999996,STOP,12.921082142857143,2024-04-26 09:40:00-04:00,0.5,0.75,3,LONG,train,2024-04-26,3,Range Bound
NVDA,2024-04-26 13:45:00,2024-04-26 17:50:00+00:00,846.06,0.0086612307533604,0.0045407776382364,0.0259839352824307,0.015796516160334,4.7263214285714366,0.0055869444005288,840.2414799786733,0.0067576861614755,1.209549563592561,2.236309576667247,0.0091848509772704,0.0082252290952437,0.0001203369149916,0.000839284967035,0.006590288943993,0.2393156642875577,0.970941817426052,S0.5_T2.0_H3,4.0,TARGET,855.9626571428571,2024-04-26 09:55:00-04:00,0.5,2.0,3,LONG,train,2024-04-26,3,Range Bound
PLTR,2024-04-26 16:45:00,2024-04-26 20:50:00+00:00,22.43,0.0031243051524572,0.0011147030470928,0.0062584021884224,0.0017841217935016,0.063385714285714,0.0028246753246753,22.38158802455259,0.0026030292088863,0.9215321796976974,1.975255725686456,0.0044563279857396,0.0033422459893049,0.0004456327985738,0.0006684491978608,0.0017052335339426,1.2246467991473532e-16,-1.0,S0.5_T2.0_H6,4.000000000000033,TARGET,22.55392857142857,2024-04-26 13:10:00-04:00,0.5,2.0,6,LONG,train,2024-04-26,3,Range Bound
TSLA,2024-04-29 13:30:00,2024-04-29 17:35:00+00:00,187.96,0.1104872882852049,0.111616929595617,0.1168058596171556,0.1167532388644752,2.011900000000004,0.0107044426709231,187.27666666666664,0.0035825130797198,0.3346753483440255,5.786627109992518,0.0164937483373238,0.0023942537909019,0.0004788507581803,0.0136206437882415,0.0318240047309087,0.0,1.0,S0.5_T0.75_H3,1.5000000000000118,TARGET,189.56856785714288,2024-04-29 09:35:00-04:00,0.5,0.75,3,LONG,train,2024-04-29,1,Trending
OKLO,2024-04-29 13:30:00,2024-04-29 17:35:00+00:00,12.91,0.0147346597569367,0.0139537147738653,0.011614532420693,0.0,0.0665857142857141,0.0051259210381612,12.933333333333335,0.0043623299974337,0.8510333976971785,3.443431190121027,0.0130869899923017,0.0030792917628946,0.0,0.0100076982294071,0.0051125458196059,0.0,1.0,S0.5_T2.0_H3,3.99999999999998,TARGET,13.058885714285712,2024-04-29 09:35:00-04:00,0.5,2.0,3,LONG,train,2024-04-29,3,Range Bound
OKLO,2024-04-29 18:10:00,2024-04-29 22:15:00+00:00,14.0846,0.018785272636546,0.0160861377516244,0.012848142477849,0.004976903269753,0.1335285714285717,0.0094701114488348,13.88084371423115,0.0155429989906986,1.6412688567261673,1.5063303514689348,0.0180851063829786,0.0180851063829786,0.0,0.0,0.006749570017467,-0.9797906520422676,-0.2000256937760445,S0.5_T2.0_H3,4.000000000000004,TARGET,14.3388,2024-04-29 14:20:00-04:00,0.5,2.0,3,LONG,train,2024-04-29,3,Range Bound
NVDA,2024-04-29 19:05:00,2024-04-29 23:10:00+00:00,870.2982,0.0028536270759836,-0.003989915501188,-0.0035762291389138,-0.0044750405917376,2.863521428571427,0.0032902315595264,869.1022555532403,0.0013877175337059,0.4217689571689971,1.93990987150005,0.0058255104502993,0.00265422665487,1.1490158679211537e-05,0.0031597936367501,0.0030250642024694,-0.7746049618276549,0.6324453755953767,S0.75_T0.75_H3,-0.9999999999999752,STOP,868.174125,2024-04-29 15:15:00-04:00,0.75,0.75,3,LONG,train,2024-04-29,2,Choppy
