ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,symbol,side,split
2024-02-29 14:35:00,2024-02-29 14:40:00,204.19,0.0022311313240760905,0.01182512793981559,0.010042914488430315,0.7012357142857114,0.0034347360613524265,204.02984345495273,0.0006375222621829487,0.18561026256320973,2.3325567256150546,0.006563479623824468,0.0022041536050156183,0.001077586206896546,0.0032817398119123035,0.0024070718157819145,0.08046656871672588,0.99675730813421,S0.75_T1.0_H6,1.333333333333323,TARGET,204.97695,2024-02-29 09:40:00-05:00,0.75,1.0,6,TSLA,LONG,train
2024-02-29 20:50:00,2024-02-29 20:55:00,201.9,0.004149054053197516,0.00446142566255124,0.004306719883036733,0.4018999999999977,0.0019904908127383373,201.3211560119624,0.0029163686198683063,1.4651505051943596,2.9057063447057945,0.004754593630825514,0.004110742409984568,0.0006438512208409462,0.0,0.0014033727869878197,-0.16041128085776063,0.9870502626379128,S0.75_T0.75_H6,-0.9999999999999654,STOP,201.57821785714287,2024-02-29 15:55:00-05:00,0.75,0.75,6,TSLA,LONG,train
2024-03-01 14:45:00,2024-03-01 14:50:00,199.95,0.0034318241118928695,5.001500451181251e-05,-0.005630670780482281,0.7206499999999981,0.003604241166320729,199.63207177519266,0.0015650715187043268,0.4342305207900332,2.072038870203333,0.005614043862062079,0.0034259421340868852,0.000287579084248191,0.0019005226437270022,0.0035442403387383466,0.23931566428755777,0.970941817426052,S1.0_T1.0_H6,1.0000000000000027,TARGET,200.72564285714284,2024-03-01 09:55:00-05:00,1.0,1.0,6,TSLA,LONG,train
2024-03-07 14:30:00,2024-03-07 14:35:00,178.1071,0.009361146575760622,0.006956108987263646,0.008568259860381651,0.8586857142857168,0.004819744691769852,176.71666666666667,0.008101332135907769,1.6808633348860829,4.957912259400312,0.025763358778625973,0.02127301302200265,0.0007296811854512542,0.0037606645711720696,0.0035311910382199376,0.0,1.0,S0.5_T1.5_H6,3.000000000000013,TARGET,179.54834285714287,2024-03-07 09:35:00-05:00,0.5,1.5,6,TSLA,LONG,train
2024-03-08 14:40:00,2024-03-08 14:45:00,180.79,0.007941586813892577,0.01244395203911308,0.007639473523571035,0.8891714285714281,0.004917820363104256,180.51985657636072,0.0015825991595372283,0.32180906228511585,1.9613228668135372,0.008130261163899422,0.0077762906098249275,0.0003539705540744939,0.0,0.004341873195341452,0.1604112808577602,0.9870502626379128,S0.5_T0.75_H6,-0.9999999999999934,STOP,180.32309285714285,2024-03-08 09:45:00-05:00,0.5,0.75,6,TSLA,LONG,train
2024-03-11 13:30:00,2024-03-11 13:35:00,177.0059,0.009648749582354727,0.010333368504576492,0.005494052504441289,0.6408642857142846,0.0036198841262668584,176.45000000000005,0.0033325802078623284,0.9206317361597917,4.074520025015778,0.01530727519204688,0.008811568007230017,0.0026547672842295463,0.003840939900587316,0.0035507483591335287,0.0,1.0,S0.5_T2.0_H6,3.9999999999999907,TARGET,178.69405714285713,2024-03-11 09:35:00-04:00,0.5,2.0,6,TSLA,LONG,train
2024-03-13 13:45:00,2024-03-13 13:50:00,174.27,0.006274304652895696,-0.004831369734901487,-0.02089679128365074,0.9917500000000022,0.005690881964767328,174.2150213524108,0.0003154797015506015,0.05543599454421296,2.1104319620301673,0.009554140127388653,0.006197280082630472,0.0019796866930624824,0.0013771733516956969,0.0047454613008121845,0.23931566428755777,0.970941817426052,S0.5_T0.75_H6,-0.9999999999999785,STOP,173.74912500000002,2024-03-13 09:55:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-03-14 13:30:00,2024-03-14 13:35:00,171.05,0.009103569227316552,0.006334545158561516,0.007865398024647577,0.74748571428571,0.0043699811592376155,169.7800333333333,0.007425115019907496,1.6991183140942598,4.238819098042959,0.02274187504128916,0.019176253039314074,0.00023326499078350231,0.0033323570111915843,0.0035787894694702233,0.0,1.0,S0.75_T0.75_H6,-0.9999999999999858,STOP,170.33295714285717,2024-03-14 09:35:00-04:00,0.75,0.75,6,TSLA,LONG,train
2024-03-15 13:30:00,2024-03-15 13:35:00,164.87,0.014600583143084708,0.020525794898726676,0.024800114274832273,0.7280071428571497,0.0044151079074361685,164.20816666666667,0.00413507995229132,0.9365750597684805,4.1888335142309066,0.015977318212141444,0.010491843046879676,0.0017860391776337423,0.0036994359876280263,0.004479218996870739,0.0,1.0,S0.5_T0.75_H6,-1.0000000000000124,STOP,164.462425,2024-03-15 09:35:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-03-15 19:50:00,2024-03-15 19:55:00,163.55,0.005026060227930269,0.0031843260220269023,0.0030530785018954335,0.42487857142857066,0.0025976924151905763,162.8494746700803,0.004344126497430328,1.6723021062952241,1.9588126682629738,0.005196869650281207,0.005074590364392348,0.0,0.0001222792858888592,0.0020597318787700107,-0.16041128085776063,0.9870502626379128,S0.5_T2.0_H6,3.9999999999999405,TARGET,164.36814285714286,2024-03-18 09:30:00-04:00,0.5,2.0,6,TSLA,LONG,train
2024-03-19 13:35:00,2024-03-19 13:40:00,171.4994,0.004383609971905091,-0.012946906463669241,-0.01494060400564541,0.6749071428571389,0.00393554809526584,171.23343096623495,0.0014961165885186353,0.3801545686402227,2.141427231239449,0.007580616945594561,0.004373432853227594,0.0016327482652049748,0.0015744358271619933,0.005778573904413994,0.08046656871672588,0.99675730813421,S0.5_T0.75_H6,-1.0000000000000049,STOP,171.07836785714287,2024-03-19 09:40:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-03-20 18:35:00,2024-03-20 18:40:00,173.99,0.008019890666023441,0.0024453055150219184,0.0025605261626895116,0.8081000000000041,0.004643852541447601,172.7046508209022,0.007530093262637039,1.6215185980667954,1.8241296605857984,0.009091170301410925,0.008134356233657904,0.00027009165876519536,0.0006867224089878251,0.0048872351785908645,-0.9797906520422678,0.2000256937760442,S0.5_T2.0_H12,4.000000000000029,TARGET,175.6576285714286,2024-03-20 15:30:00-04:00,0.5,2.0,12,TSLA,LONG,train
2024-03-21 13:35:00,2024-03-21 13:40:00,177.069,0.0056915672324664175,0.009304503754307693,0.007880529486977539,0.9211999999999948,0.005202168511407244,176.50841961111527,0.003227808837162527,0.6204737178514368,1.5804827626256346,0.010164897221594662,0.005856674949175567,0.0020894510955498987,0.0022187711768691964,0.003025593279459938,0.08046656871672588,0.99675730813421,S0.5_T0.75_H6,-1.0000000000000044,STOP,176.59982857142856,2024-03-21 09:40:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-03-22 13:45:00,2024-03-22 13:50:00,167.4762,0.004488740816346203,-0.002861660528197775,-0.031985648473281995,1.143349999999998,0.006827600621043819,167.43406398006462,0.00015487889606703937,0.02268423486717668,1.7139805404106485,0.006986743102830452,0.004180102711095288,0.0010748835542814905,0.0017317568374536727,0.008461666509267786,0.23931566428755777,0.970941817426052,S0.5_T2.0_H6,4.000000000000013,TARGET,169.91548571428572,2024-03-22 10:10:00-04:00,0.5,2.0,6,TSLA,LONG,train
2024-04-01 13:30:00,2024-04-01 13:35:00,175.94,0.0008983960256043814,0.0021506730562869452,0.002208201623365928,0.4773571428571403,0.0027130580788479568,175.62933333333334,0.0018111411704973765,0.6675644670557291,4.10515497749294,0.014549753336212985,0.0013754063700638268,0.0031827585422966004,0.009991588423852556,0.000921835446211421,0.0,1.0,S0.75_T0.75_H6,-0.9999999999999633,STOP,175.5648392857143,2024-04-01 09:35:00-04:00,0.75,0.75,6,TSLA,LONG,train
2024-04-02 13:35:00,2024-04-02 13:40:00,164.98,0.006321766142497009,-0.053398352478814165,-0.05002409381630727,1.5022214285714273,0.009104383329988445,164.83149100558052,0.001020055748064399,0.11204007027082127,3.6039391063920525,0.01703032367311962,0.005999401211395443,0.007516372747118577,0.0035145497146055983,0.01958903358591672,0.08046656871672588,0.99675730813421,S0.5_T1.0_H6,1.9999999999999973,TARGET,166.54457857142856,2024-04-02 09:45:00-04:00,0.5,1.0,6,TSLA,LONG,train
2024-04-04 13:45:00,2024-04-04 13:50:00,169.39,0.0037854188456512582,0.004911979102356883,0.007941004305896577,0.7211357142857163,0.00425725080751943,168.97693562289115,0.0024385405107080625,0.5727970046775152,2.0291027072113788,0.009563728673475439,0.0038715390518920794,0.0014168486923667814,0.0042753409292165786,0.0014413221891849996,0.23931566428755777,0.970941817426052,S0.5_T0.75_H6,-0.9999999999999803,STOP,169.02801428571428,2024-04-04 09:55:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-04-05 15:35:00,2024-04-05 15:40:00,167.93,0.043816188216660286,0.032492860845042645,0.008570383847101933,2.1502285714285767,0.012806770377149532,166.2240562909608,0.009968824541114897,0.7784026922901469,3.3974432164492376,0.04373970355775947,0.042840346925331826,0.000541996381131904,0.0003573602512957423,0.015868278038104037,0.9034504346103822,-0.4286925614030543,S0.5_T0.75_H6,-0.9999999999999937,STOP,166.81452857142858,2024-04-05 11:40:00-04:00,0.5,0.75,6,TSLA,LONG,train
2024-04-08 13:30:00,2024-04-08 13:35:00,170.66,0.03457929182953037,0.030583645394821456,0.02979850266990408,0.8642285714285671,0.005064330881895569,169.72003333333333,0.005450138421639809,1.0761813453231226,4.432759370010567,0.01716963541187498,0.007618512968934766,0.0004096100734777762,0.009141512369462439,0.010195186938893914,0.0,1.0,S1.0_T2.0_H6,2.0000000000000084,TARGET,172.63274285714286,2024-04-08 09:45:00-04:00,1.0,2.0,6,TSLA,LONG,train
